year,age,rooms,area,land,nearinc,rprice
1978,48,7,1660,4578,1,60000
1978,83,6,2612,8370,1,40000
1978,58,6,1144,5000,1,34000
1978,11,5,1136,10000,1,63900
1978,48,5,1868,10000,1,44000
1978,78,6,1780,9500,1,46000
1978,22,6,1700,10878,1,56000
1978,78,6,1556,3870,1,38500
1978,42,8,1642,7000,1,60500
1978,41,5,1443,7950,1,55000
1978,78,6,1439,4990,1,39000
1978,38,5,1482,8017,1,41000
1978,18,6,1290,12538,1,50900
1978,32,6,1274,7858,0,52000
1978,18,6,1476,15664,0,49000
1978,58,7,1838,9249,1,80000
1978,56,6,1536,10491,1,50000
1978,70,5,2458,9400,1,59000
1978,26,4,750,8000,1,42000
1978,21,5,2106,13370,1,71500
1978,24,4,1000,8000,1,43000
1978,33,6,1410,10370,1,48000
1978,128,7,2346,43560,0,37500
1978,15,6,1215,44867,0,59000
1978,7,6,2128,44174,0,59000
1978,0,7,2290,25250,0,94000
1978,0,7,2464,48269,0,95920
1978,0,7,2240,44916,0,95000
1978,0,7,2464,50808,0,95900
1978,1,7,2240,53000,0,91000
1978,0,7,2464,41463,0,96900
1978,104,8,2576,12568,1,47000
1978,18,6,1377,12877,1,68500
1978,188,6,2071,9665,0,36000
1978,12,7,2352,26890,1,90000
1978,178,10,1750,12516,0,66900
1978,1,6,1869,12500,1,44000
1978,48,6,1490,5000,1,43500
1978,56,5,1867,5000,1,40000
1978,3,7,1261,10000,1,46000
1978,21,5,1038,15431,1,48000
1978,12,7,1800,13030,1,61000
1978,28,6,1972,20089,1,55500
1978,23,6,2089,16935,1,63000
1978,148,6,1464,29129,1,32000
1978,25,6,2112,12500,1,32000
1978,13,6,1964,25182,0,82000
1978,18,5,1166,45000,1,51000
1978,38,6,3861,51062,1,83000
1978,10,7,2252,44000,0,100000
1978,8,9,2598,44000,0,131500
1978,21,4,2276,43560,0,37500
1978,68,6,1875,9790,1,49000
1978,13,6,1570,8790,1,54000
1978,38,6,2032,10993,1,56900
1978,22,6,1318,20550,1,62000
1978,21,5,1078,21800,1,48000
1978,56,7,3460,11421,1,48000
1978,28,5,1592,12700,1,53000
1978,54,8,915,14000,1,49000
1978,28,5,925,4585,1,31000
1978,14,6,1421,21120,1,56900
1978,78,5,990,1710,1,34000
1978,153,9,3792,35942,0,98000
1978,3,7,2544,26726,0,85500
1978,0,7,2206,50094,0,122500
1978,189,9,5078,132422,1,185000
1978,5,5,1358,44775,0,67500
1978,8,7,2171,44064,0,120000
1978,1,7,1998,43561,0,79000
1978,1,7,1998,147668,0,77500
1978,26,6,1356,544500,0,58000
1978,0,9,1411,44431,0,61900
1978,2,7,1540,46174,0,79900
1978,0,7,1296,46609,0,62400
1978,1,7,2240,43560,0,89500
1978,0,7,2436,43560,0,89500
1978,0,7,2384,43560,0,94900
1978,0,6,1862,56392,0,85900
1978,0,7,2036,49737,0,92900
1978,0,7,2082,43958,0,84900
1978,0,7,1962,44465,0,85900
1978,0,7,2286,43996,0,85900
1978,0,7,2464,43560,0,97900
1978,0,6,1862,45302,0,78400
1978,0,8,2738,43995,0,91400
1978,0,7,2240,43995,0,106500
1978,0,7,2780,43995,0,109500
1978,1,7,2781,43560,1,148000
1978,12,6,1537,48352,0,75000
1978,1,7,2796,43560,1,90400
1978,1,9,2794,43995,1,125000
1978,158,9,2872,104544,0,123000
1978,30,6,1357,45302,0,63000
1978,188,7,3256,44867,0,87500
1978,0,7,2038,49223,0,73000
1978,0,7,1924,44431,0,84900
1978,0,7,2370,43560,0,80900
1978,0,7,2036,51836,0,94000
1978,0,7,1818,55321,0,74500
1978,1,7,1986,50094,0,82500
1978,3,6,1855,50965,0,86000
1978,1,6,1836,46174,0,76900
1978,1,7,1836,45738,0,75900
1978,0,7,1820,46174,0,75500
1978,0,7,1728,47916,0,75000
1978,0,6,2092,47045,0,73900
1978,0,7,2036,46174,0,83900
1978,1,7,2400,43560,0,76900
1978,0,7,2104,68689,0,84300
1978,0,7,1928,157252,0,75900
1978,0,7,2067,204296,0,87900
1978,13,7,1360,43910,0,65000
1978,0,7,1940,43996,0,90000
1978,5,7,2816,43560,0,104500
1978,14,6,1235,95832,0,63000
1978,5,7,1388,46600,0,66100
1978,6,7,1070,48834,0,60000
1978,4,7,1390,46100,0,73000
1978,3,9,2574,43996,0,83000
1978,1,6,1232,45000,0,70500
1978,4,6,2650,43996,0,120000
1978,12,6,1978,44867,0,62500
1978,1,6,1248,45000,0,65500
1978,9,7,1716,45500,0,84900
1978,9,6,1144,44431,0,63400
1978,2,7,2450,44867,0,80000
1978,2,7,2952,43996,0,86000
1978,0,7,2800,69260,0,94376
1978,0,7,2108,52272,0,90500
1978,2,7,2208,54014,0,90500
1978,0,7,1560,44864,0,84900
1978,2,7,2248,49222,0,86000
1978,6,7,2284,44001,0,91500
1978,23,7,2632,64904,0,89912
1978,23,7,2632,64904,0,88000
1978,14,6,1936,43996,0,73500
1978,8,8,2004,44080,0,85000
1978,13,7,1920,44260,0,87000
1978,5,7,2136,44000,0,97000
1978,3,7,2472,46422,0,72500
1978,4,7,1792,45106,0,77000
1978,5,7,2136,117176,0,85000
1978,4,8,2016,44900,0,82000
1978,0,6,2514,43996,0,93000
1978,0,7,2432,43663,0,105000
1978,0,7,2878,43560,0,106500
1978,15,5,960,51690,0,44900
1978,11,7,1868,56900,0,73000
1978,11,6,1296,94961,0,46500
1978,13,6,1668,43560,0,50000
1978,0,7,2052,43560,0,90000
1978,1,6,1100,38768,0,49500
1978,28,5,1320,64033,0,57000
1978,9,6,3030,47916,1,120000
1978,3,6,1924,42688,0,83500
1978,0,7,3770,282704,1,300000
1978,3,7,2856,29955,0,64900
1978,58,5,930,8185,1,50900
1978,12,6,1399,10000,1,60500
1978,3,5,1342,8500,1,70400
1978,48,6,1500,5153,1,48000
1978,25,7,1333,11883,0,53500
1978,8,6,1844,92783,0,66000
1978,8,6,1764,86249,0,64000
1978,11,7,2727,44867,0,65000
1978,10,7,2080,25000,0,72900
1978,2,7,2030,25120,0,26000
1978,0,7,3030,32255,0,117000
1978,0,7,2252,30894,0,97000
1978,2,7,2238,25690,0,95000
1978,0,7,2464,30945,0,107900
1978,0,7,2464,31059,0,120000
1978,1,7,2502,34666,0,120000
1978,0,7,2510,31915,0,121000
1978,0,7,2012,30800,0,107000
1978,0,7,2352,31331,0,119900
1978,0,7,2492,27248,0,142500
1978,0,7,2756,27205,0,84211
1981,81,6,1554,6790,1,37634.41
1981,71,5,1575,3485,1,39938.55
1981,31,6,3304,18731,1,52227.34
1981,41,6,1700,7500,1,41474.66
1981,31,6,1454,5500,1,53763.44
1981,81,6,1410,4500,1,36098.31
1981,19,6,1592,13068,1,56758.83
1981,1,9,1910,15246,0,90245.77
1981,41,5,735,10454,0,46082.95
1981,1,6,1154,43560,0,65284.18
1981,26,5,1104,15512,0,51059.14
1981,81,6,1830,13939,1,53763.44
1981,41,5,1166,9770,1,51075.27
1981,31,7,2263,10019,1,69892.48
1981,31,6,1482,12632,1,55683.56
1981,36,4,970,11104,1,51459.29
1981,21,6,1684,81273,1,52227.34
1981,18,6,1080,52272,0,65284.18
1981,13,6,1633,17728,1,81413.21
1981,24,7,3208,17424,1,99846.39
1981,0,7,2258,12500,0,92089.09
1981,1,7,2016,12632,0,96006.14
1981,0,7,1991,12632,0,90629.8
1981,0,7,1746,13504,0,76804.91
1981,1,7,2700,13504,0,98310.29
1981,0,7,2302,13504,0,107526.9
1981,0,6,2144,12806,0,110215.1
1981,59,5,1867,5000,1,51075.27
1981,51,5,1140,13945,1,38402.46
1981,25,5,912,12005,1,49923.2
1981,20,6,1425,19550,1,66052.23
1981,131,9,3798,50045,0,92165.9
1981,0,7,2252,34879,0,103686.6
1981,0,7,2252,34879,0,103686.6
1981,0,7,2836,37046,0,122887.9
1981,0,7,2486,30808,0,129032.3
1981,0,7,3074,25159,0,139857.9
1981,0,7,3074,25265,0,134408.6
1981,0,7,3232,25380,0,124424
1981,0,7,3396,31412,0,145819.5
1981,0,7,2464,37026,0,146319.5
1981,0,7,3252,29671,0,180147.5
1981,0,7,3040,29621,0,168970.8
1981,0,7,3055,25265,0,134408.6
1981,11,7,1731,14810,1,90629.8
1981,1,9,2996,45738,1,119047.6
1981,0,7,2464,46174,1,110599.1
1981,0,7,2548,46174,1,165898.6
1981,0,6,3398,63260,1,95622.12
1981,0,6,1988,65212,1,61443.93
1981,0,7,5136,47916,1,76804.91
1981,81,6,2327,35538,1,67588.33
1981,41,6,936,8276,1,31490.02
1981,121,7,1674,54886,1,50691.25
1981,7,5,1587,5957,1,56835.64
1981,1,5,1531,3049,1,59062.98
1981,0,7,2574,43757,1,101382.5
1981,0,7,2644,35284,1,99846.39
1981,39,6,1456,18215,0,57603.69
1981,2,7,2464,31215,0,120199.7
1981,8,8,2400,29226,0,107526.9
1981,81,6,1760,32670,0,49923.2
1981,6,6,3132,26136,0,115207.4
1981,2,7,2688,28688,0,119047.6
1981,0,7,2656,43996,0,117511.5
1981,0,7,2738,43560,0,122887.9
1981,0,7,2736,43560,0,113671.3
1981,0,8,3726,43935,0,109063
1981,1,7,2656,45302,0,124424
1981,0,8,3284,43996,0,134792.6
1981,1,9,3170,45302,0,149001.5
1981,0,6,2330,43995,0,100230.4
1981,29,6,1564,48787,0,56067.59
1981,0,6,2248,49829,0,107526.9
1981,29,6,1566,43996,0,62980.03
1981,2,7,2744,77101,0,138248.8
1981,0,7,2470,64745,0,153609.8
1981,51,6,1199,54450,0,40629.8
1981,17,6,2204,45302,0,84485.41
1981,0,7,2400,45738,0,52227.34
1981,2,7,3152,51835,0,69124.42
1981,2,7,3152,51835,0,78341.02
1981,0,7,2701,48787,0,91858.68
1981,2,7,2000,43569,0,87173.58
1981,11,7,1286,44200,0,61827.96
1981,19,6,1344,78408,0,58294.93
1981,2,6,1232,49384,0,83717.36
1981,6,7,4056,69465,0,122887.9
1981,8,7,2364,43996,0,92165.9
1981,0,7,2377,43560,0,104377.9
1981,6,7,2706,43996,0,92933.95
1981,15,6,1978,44867,0,65284.18
1981,3,7,2756,43573,0,102150.5
1981,0,7,2576,49223,0,109831
1981,2,7,2528,45738,0,99846.39
1981,0,7,2464,46609,0,103686.6
1981,2,7,2920,43560,0,108294.9
1981,0,7,2548,43560,0,96006.14
1981,0,7,2580,53579,0,132795.7
1981,0,7,2738,45973,0,136524.6
1981,0,7,2208,45738,0,96006.14
1981,0,7,2900,43560,0,133256.5
1981,0,7,3292,43560,0,129800.3
1981,0,6,2472,52708,0,128993.9
1981,0,7,2569,43560,0,111367.1
1981,0,7,2464,47480,0,122811.1
1981,0,7,2826,46598,0,132309.5
1981,0,7,2464,43908,0,120506.9
1981,0,7,2832,43560,0,130491.6
1981,7,7,2056,65340,0,99769.59
1981,26,7,2632,64904,0,84408.6
1981,13,6,2528,44431,0,92165.9
1981,7,6,1800,44867,0,107526.9
1981,7,6,1182,44247,0,63748.08
1981,0,7,2738,59790,0,134408.6
1981,7,8,2016,44900,0,90245.77
1981,0,7,2610,44431,0,119431.6
1981,2,7,2627,43560,0,121351.8
1981,7,6,1848,46300,0,88325.66
1981,6,7,2648,46609,0,102534.6
1981,4,7,2464,43560,0,98310.29
1981,5,7,1998,67954,0,80645.16
1981,16,6,1549,44431,0,69124.42
1981,12,7,3334,43560,1,207373.3
1981,26,6,1526,28314,0,53763.44
1981,3,6,1197,50965,0,75268.82
1981,1,7,1836,35284,0,79800.3
1981,6,7,2856,29955,0,77649.77
1981,1,7,1836,35121,0,82872.5
1981,15,6,1133,5000,1,47619.05
1981,1,7,1242,23087,1,74308.76
1981,36,5,2216,10000,1,61059.91
1981,0,7,1226,13068,1,75192.02
1981,0,7,1910,20909,1,79800.3
